file	chr	NSpoly	Spoly	Nmel	Nsim	Namb	Smel	Ssim	Samb	MKcodons	avgsample
CG1454-RA.ifa	A	2	25	6	2	1	26	17	6	855	4.46	
CG3948-RA.ifa	A	0	13	0	0	0	4	2	0	174	5.38	
CG10697-RA.ifa	A	3	24	0	3	2	22	6	2	501	3.74	
CG4626-RA.ifa	-	10	46	8	2	1	43	14	5	703	4.49	
CG15064-RA.ifa	X	3	2	2	1	0	1	4	1	189	2.98	
CG9277-RA.ifa	A	0	2	0	0	0	7	2	1	456	4.24	
CG9885-RA.ifa	A	3	4	3	0	0	16	5	1	588	4.31	
CG10325-RA.ifa	A	0	10	0	0	0	9	12	1	330	3.70	
CG10118-RA.ifa	A	0	14	2	0	0	14	3	1	503	3.60	
CG2988-RA.ifa	A	1	21	1	1	0	13	7	3	492	2.90	
CG4319-RA.ifa	A	0	2	1	1	1	3	0	0	65	3.66	
CG4898-RA.ifa	A	0	1	0	0	0	2	1	0	249	3.51	
CG8091-RA.ifa	A	2	25	27	17	39	14	6	18	446	3.60	
CG18111-RA.ifa	A	0	4	0	1	1	7	0	1	142	5.47	
CG1130-RA.ifa	A	4	20	1	2	0	16	6	4	649	4.05	
CG7592-RA.ifa	A	0	1	0	0	0	4	3	1	149	3.48	
CG8333-RA.ifa	A	0	15	0	0	1	2	0	1	205	4.84	
CG12296-RA.ifa	A	4	47	1	1	4	31	4	4	801	4.51	
CG15085-RA.ifa	A	1	4	2	2	2	8	3	0	175	3.65	
CG3166-RA.ifa	A	6	7	2	3	0	18	8	5	732	3.81	
CG1034-RA.ifa	A	0	2	0	1	1	2	1	1	149	5.07	
CG1913-RA.ifa	A	0	6	0	0	0	10	6	2	450	4.02	
CG3629-RA.ifa	A	0	5	0	0	0	7	2	0	327	3.88	
CG6172-RA.ifa	X	0	9	2	5	0	33	15	11	718	4.55	
CG9681-RA.ifa	A	2	6	1	1	2	9	3	2	190	3.04	
CG9554-RA.ifa	A	1	46	4	2	1	13	11	4	766	4.27	
CG18265-RA.ifa	-	20	89	15	3	2	47	11	9	1310	3.43	
CG7952-RB.ifa	X	0	7	1	0	1	2	4	0	126	2.00	
CG7895-RA.ifa	A	3	24	4	0	0	11	4	1	390	3.85	
CG12772-RA.ifa	-	6	25	8	5	4	30	10	3	818	3.83	
CG1478-RA.ifa	X	0	4	0	1	0	10	3	0	281	4.79	
CG3757-RA.ifa	X	1	0	7	7	2	0	2	0	382	2.70	
CG8365-RA.ifa	A	1	3	2	0	1	3	1	1	179	3.58	
CG2647-RA.ifa	X	6	45	1	2	3	41	13	12	1160	2.76	
CG6736-RA.ifa	A	2	4	2	1	0	7	2	4	134	3.41	
CG4717-RA.ifa	A	6	15	2	1	1	8	5	1	338	4.86	
CG9048-RA.ifa	A	0	2	0	0	0	2	1	0	141	3.02	
CG30145-RA.ifa	A	3	10	3	2	3	7	4	3	136	3.74	
CG17888-RA.ifa	A	0	3	0	0	0	4	1	0	270	5.23	
CG5669-RA.ifa	-	13	52	13	5	3	34	13	3	966	4.69	
CG4531-RA.ifa	A	6	14	0	2	2	18	12	5	439	3.62	
CG13350-RA.ifa	-	5	40	5	4	1	41	17	4	892	3.81	
CG14514-RA.ifa	-	11	43	12	9	9	37	23	19	851	4.14	
CG10197-RA.ifa	A	1	27	0	0	0	20	2	1	557	4.79	
CG15582-RA.ifa	A	0	4	2	6	5	9	7	3	242	3.93	
CG1378-RA.ifa	A	2	19	0	0	0	14	12	3	452	3.35	
CG13425-RA.ifa	A	0	35	3	1	0	18	6	1	495	4.83	
CG4550-RA.ifa	A	0	4	1	0	0	9	4	1	373	4.37	
CG30129-RA.ifa	A	1	10	3	2	0	3	1	1	137	4.14	
CG6494-RA.ifa	A	0	8	1	0	0	9	9	1	337	3.83	
CG7266-RA.ifa	A	0	12	1	1	0	8	1	1	246	4.86	
CG3796-RA.ifa	X	0	0	2	0	2	4	6	4	187	2.23	
CG10388-RA.ifa	A	0	7	0	0	0	10	2	1	384	3.48	
CG32150-RA.ifa	A	10	25	4	1	1	11	4	3	523	3.86	
CG1737-RA.ifa	-	6	18	28	26	44	34	18	23	924	4.21	
CG12154-RA.ifa	X	6	15	8	0	5	46	10	7	643	3.56	
CG7931-RA.ifa	A	0	8	3	2	2	5	5	1	140	5.05	
CG1689-RA.ifa	X	2	15	3	3	1	20	8	4	683	3.26	
CG32434-RA.ifa	A	6	71	1	1	0	42	11	0	1308	4.19	
CG10491-RA.ifa	A	9	13	3	1	1	8	2	5	614	4.53	
CG18455-RA.ifa	A	5	22	1	0	1	13	2	3	486	4.22	
CG13873-RA.ifa	A	2	9	1	4	1	1	4	3	131	4.07	
CG31317-RA.ifa	A	9	136	3	3	3	38	10	8	1142	3.77	
CG30150-RA.ifa	A	7	6	4	0	9	7	1	5	135	3.30	
CG4125-RA.ifa	X	4	39	2	0	1	39	9	3	764	4.62	
CG1264-RA.ifa	A	2	27	9	0	3	23	4	6	626	3.82	
CG8704-RA.ifa	A	3	9	1	0	0	13	6	2	371	4.21	
CG7508-RA.ifa	A	6	6	3	0	2	13	3	5	312	3.65	
CG12181-RB.ifa	X	5	5	9	5	54	8	17	35	274	2.34	
CG10067-RA.ifa	A	0	3	0	0	0	3	5	0	376	4.07	
CG8175-RA.ifa	A	2	4	0	0	0	0	0	1	52	3.00	
CG3992-RA.ifa	A	10	31	13	7	8	20	11	12	1203	3.54	
CG30128-RA.ifa	A	0	16	3	1	0	7	4	0	208	3.91	
CG2759-RA.ifa	X	0	25	0	1	1	31	10	5	686	4.06	
CG10810-RA.ifa	A	0	9	0	0	0	0	0	0	70	4.86	
CG6127-RA.ifa	A	11	87	6	2	1	30	14	3	1407	5.26	
CG4952-RA.ifa	A	2	39	3	0	0	30	1	1	1068	4.05	
CG3401-RA.ifa	A	1	21	1	0	0	9	1	1	454	3.78	
CG11121-RA.ifa	A	7	20	2	1	0	10	5	0	404	3.37	
CG4761-RA.ifa	A	9	35	6	1	3	21	6	2	643	4.28	
CG8827-RA.ifa	A	3	57	3	1	0	23	5	3	615	4.95	
CG11387-RA.ifa	X	2	45	9	2	5	43	37	17	1939	3.74	
CG3096-RA.ifa	A	8	7	0	1	3	1	0	0	80	4.96	
CG6716-RA.ifa	A	2	31	1	2	0	22	8	6	590	3.63	
CG6099-RA.ifa	A	1	7	0	0	0	8	1	0	150	3.32	
CG31481-RA.ifa	A	3	13	11	2	3	27	7	3	776	3.73	
CG6570-RA.ifa	A	8	15	4	1	4	16	6	4	371	4.37	
CG1650-RA.ifa	A	8	32	0	3	1	15	4	5	461	4.64	
CG5248-RA.ifa	A	14	50	11	8	3	25	4	7	1007	4.37	
CG7933-RA.ifa	A	1	4	1	0	1	1	2	1	119	4.64	
CG1395-RA.ifa	A	0	14	0	2	3	17	4	1	479	3.48	
CG1967-RA.ifa	X	0	0	1	3	1	2	6	1	210	3.33	
CG5264-RA.ifa	A	9	17	6	2	3	8	3	2	158	4.59	
CG11218-RA.ifa	A	1	1	2	4	0	6	1	0	131	2.36	
CG2189-RA.ifa	A	4	9	2	1	2	11	8	8	506	4.46	
CG9786-RA.ifa	A	2	11	0	0	0	33	11	6	756	3.88	
CG1759-RA.ifa	A	0	6	1	4	2	15	4	1	421	3.90	
CG17348-RA.ifa	A	2	31	1	0	0	23	8	2	610	4.82	
CG18144-RA.ifa	A	2	5	1	1	1	2	2	1	174	4.02	
CG16738-RA.ifa	A	0	23	3	2	0	11	6	1	322	4.10	
CG17946-RA.ifa	A	0	1	0	0	0	3	0	0	63	3.00	
CG8462-RA.ifa	A	1	4	6	1	0	2	3	2	132	3.04	
CG32217-RA.ifa	-	4	17	20	10	12	30	8	8	1055	3.92	
CG6824-RB.ifa	X	5	15	5	7	2	33	13	4	1049	3.22	
CG7279-RA.ifa	A	1	14	4	0	1	21	12	0	436	4.31	
CG3135-RA.ifa	X	1	8	0	6	2	13	10	4	426	3.29	
CG2345-RA.ifa	A	8	10	3	4	2	9	6	0	188	5.11	
CG10002-RA.ifa	A	0	11	1	0	0	13	2	8	508	3.87	
CG2522-RA.ifa	X	0	13	6	11	5	29	10	5	614	3.66	
CG12737-RA.ifa	-	3	40	5	4	2	47	28	9	1383	2.69	
CG12245-RA.ifa	A	6	26	5	1	4	25	2	5	472	5.12	
CG5557-RA.ifa	A	1	29	1	3	0	24	6	1	530	3.95	
CG7938-RA.ifa	A	0	23	1	4	1	6	8	1	356	4.40	
CG14226-RA.ifa	X	7	22	14	8	2	48	26	9	1126	3.18	
CG32677-RA.ifa	-	9	33	8	7	6	48	24	11	1392	4.04	
CG30142-RA.ifa	A	5	11	2	0	0	6	4	1	141	3.79	
CG11551-RA.ifa	A	9	15	4	2	2	9	8	1	390	3.91	
CG6464-RA.ifa	A	6	97	4	2	3	43	11	7	1295	3.79	
CG4262-RA.ifa	X	0	2	0	0	0	19	16	2	483	4.28	
CG3956-RA.ifa	A	3	8	1	0	0	9	3	2	390	3.94	
CG1385-RA.ifa	A	1	1	2	0	1	3	2	2	92	4.85	
CG10146-RA.ifa	A	6	31	6	1	2	16	5	3	208	3.31	
CG17894-RA.ifa	A	4	20	3	0	1	23	9	1	517	3.98	
CG7902-RA.ifa	A	4	29	3	2	1	16	4	4	381	4.35	
CG7771-RA.ifa	A	8	26	1	0	0	11	6	2	670	3.66	
CG1046-RA.ifa	A	7	14	7	2	9	12	8	4	349	5.26	
CG14548-RA.ifa	A	0	7	2	0	0	7	2	0	195	2.70	
CG9224-RA.ifa	X	0	6	2	1	4	31	21	10	1036	3.19	
CG10422-RA.ifa	A	5	11	18	16	32	10	11	10	437	5.31	
CG12443-RA.ifa	A	5	20	9	3	3	13	10	3	743	3.65	
CG2956-RA.ifa	A	4	27	2	4	2	16	3	3	486	4.70	
CG6534-RA.ifa	A	3	39	2	0	1	30	8	1	659	4.20	
CG1429-RA.ifa	A	0	8	2	1	1	10	6	1	516	4.42	
CG12763-RA.ifa	A	4	2	2	0	3	4	0	3	105	4.97	
CG17285-RA.ifa	A	22	68	22	2	14	30	22	6	1008	4.19	
CG10719-RA.ifa	-	7	54	2	2	1	26	14	5	1035	5.02	
CG17075-RA.ifa	-	6	22	11	3	7	35	18	5	968	4.30	
CG12287-RA.ifa	A	6	31	3	2	0	8	4	4	494	4.34	
CG6868-RA.ifa	A	21	51	9	5	8	51	31	8	1067	4.69	
CG3827-RA.ifa	X	0	0	4	2	0	10	6	3	268	2.49	
CG16740-RA.ifa	A	4	25	2	0	0	14	3	2	381	4.99	
CG8355-RA.ifa	A	2	69	0	0	0	34	15	6	1480	4.78	
CG4889-RA.ifa	A	0	13	0	0	0	8	4	8	453	3.29	
CG31557-RA.ifa	A	1	4	1	1	7	13	6	5	244	4.49	
CG10990-RA.ifa	-	3	7	0	5	4	17	10	2	451	4.06	
CG7503-RA.ifa	A	6	33	1	3	0	29	14	1	689	4.42	
CG4637-RA.ifa	A	7	11	0	0	3	15	4	4	468	3.97	
CG10021-RA.ifa	A	3	60	3	1	1	32	13	10	743	3.99	
CG1004-RA.ifa	A	2	8	3	2	0	28	1	5	355	4.23	
CG3871-RA.ifa	A	1	18	2	0	0	17	5	1	392	5.07	
